output_index,tx_index,adr_index,input_value,spent_index
90,171,101,5000000000,9
1711,183,101,4000000000,171
1831,185,101,3000000000,183
1851,187,101,2900000000,185
1870,192,1881,100000000,187
1850,227,1861,100000000,185
1871,255,101,2800000000,187
3670,504,3681,5000000000,367
1920,504,1931,100000000,192
2550,504,2561,1000000000,255
2930,533,2941,5000000000,293
5330,555,5341,2500000000,533
5550,557,5561,100000000,555
5551,557,5341,2400000000,555
5570,558,5581,100000000,557
5571,558,5561,2400000000,557
5580,559,5581,100000000,558
5581,559,5581,2400000000,558
2750,600,2761,5000000000,275
4240,600,4251,5000000000,424
4380,600,4391,5000000000,438
4490,600,4501,5000000000,449
4570,600,4581,5000000000,457
3240,601,3251,5000000000,324
3360,609,3371,5000000000,336
5090,724,5101,5000000000,509
5140,724,5151,5000000000,514
5170,746,5181,5000000000,517
3640,746,3651,5000000000,364
6120,962,6111,5000000000,612
7570,962,7561,5000000000,757
7900,962,7891,5000000000,790
4720,1075,4731,5000000000,472
4800,1075,4811,5000000000,480
6400,1075,6391,5000000000,640
5750,1075,5741,5000000000,575
5290,1075,5301,5000000000,529
5000,1075,5011,5000000000,500
4460,1075,4471,5000000000,446
7750,1075,7741,5000000000,775
8460,1075,8451,5000000000,846
8420,1075,8411,5000000000,842
4140,1077,4151,5000000000,414
6820,1077,6811,5000000000,682
6091,1077,3371,2500000000,609
5500,1077,5511,5000000000,550
7480,1077,7471,5000000000,748
8320,1077,8311,5000000000,832
10110,1206,10101,5000000000,1011
4400,1206,4411,5000000000,440
6060,1206,6051,5000000000,606
4010,1206,4021,5000000000,401
7910,1206,7901,5000000000,791
9530,1206,9521,5000000000,953
9680,1206,9671,5000000000,968
9780,1206,9771,5000000000,978
9030,1236,9021,5000000000,903
7660,1236,7651,5000000000,766
3270,1320,3281,5000000000,327
9580,1320,9571,5000000000,958
11170,1320,11151,5000000000,1117
4680,1320,4691,5000000000,468
11460,1320,11441,5000000000,1146
8270,1320,8261,5000000000,827
10180,1320,10171,5000000000,1018
11600,1320,11581,5000000000,1160
9640,1320,9631,5000000000,964
7850,1320,7841,5000000000,785
10050,1414,10041,5000000000,1005
9450,1414,9441,5000000000,945
