output_index,tx_index,adr_index,output_value,spent_index
0,0,11,5000000000,
10,1,21,5000000000,
20,2,31,5000000000,
30,3,41,5000000000,
40,4,51,5000000000,
50,5,61,5000000000,
60,6,71,5000000000,
70,7,81,5000000000,
80,8,91,5000000000,
90,9,101,5000000000,171.0
100,10,111,5000000000,
110,11,121,5000000000,
120,12,131,5000000000,
130,13,141,5000000000,
140,14,151,5000000000,
150,15,161,5000000000,
160,16,171,5000000000,
170,17,181,5000000000,
180,18,191,5000000000,
190,19,201,5000000000,
200,20,211,5000000000,
210,21,221,5000000000,
220,22,231,5000000000,
230,23,241,5000000000,
240,24,251,5000000000,
250,25,261,5000000000,
260,26,271,5000000000,
270,27,281,5000000000,
280,28,291,5000000000,
290,29,301,5000000000,
300,30,311,5000000000,
310,31,321,5000000000,
320,32,331,5000000000,
330,33,341,5000000000,
340,34,351,5000000000,
350,35,361,5000000000,
360,36,371,5000000000,
370,37,381,5000000000,
380,38,391,5000000000,
390,39,401,5000000000,
400,40,411,5000000000,
410,41,421,5000000000,
420,42,431,5000000000,
430,43,441,5000000000,
440,44,451,5000000000,
450,45,461,5000000000,
460,46,471,5000000000,
470,47,481,5000000000,
480,48,491,5000000000,
490,49,501,5000000000,
500,50,511,5000000000,
510,51,521,5000000000,
520,52,531,5000000000,
530,53,541,5000000000,
540,54,551,5000000000,
550,55,561,5000000000,
560,56,571,5000000000,
570,57,581,5000000000,
580,58,591,5000000000,
590,59,601,5000000000,
600,60,611,5000000000,
610,61,621,5000000000,
620,62,631,5000000000,
630,63,641,5000000000,
640,64,651,5000000000,
650,65,661,5000000000,
660,66,671,5000000000,
670,67,681,5000000000,
680,68,691,5000000000,
690,69,701,5000000000,
700,70,711,5000000000,
710,71,721,5000000000,
720,72,731,5000000000,
730,73,741,5000000000,
740,74,751,5000000000,
750,75,761,5000000000,
760,76,771,5000000000,
770,77,781,5000000000,
780,78,791,5000000000,724717.0
790,79,801,5000000000,
800,80,811,5000000000,
810,81,821,5000000000,
820,82,831,5000000000,
830,83,841,5000000000,
840,84,851,5000000000,
850,85,861,5000000000,
860,86,871,5000000000,
870,87,881,5000000000,
880,88,891,5000000000,
890,89,901,5000000000,
900,90,911,5000000000,
910,91,921,5000000000,
920,92,931,5000000000,
930,93,941,5000000000,
940,94,951,5000000000,
950,95,961,5000000000,
960,96,971,5000000000,
970,97,981,5000000000,
980,98,991,5000000000,
990,99,1001,5000000000,
1000,100,1011,5000000000,
1010,101,1021,5000000000,
1020,102,1031,5000000000,
1030,103,1041,5000000000,
1040,104,1051,5000000000,
1050,105,1061,5000000000,
1060,106,1071,5000000000,
1070,107,1081,5000000000,
1080,108,1091,5000000000,
1090,109,1101,5000000000,
1100,110,1111,5000000000,
1110,111,1121,5000000000,
1120,112,1131,5000000000,
1130,113,1141,5000000000,
1140,114,1151,5000000000,
1150,115,1161,5000000000,
1160,116,1171,5000000000,
1170,117,1181,5000000000,
1180,118,1191,5000000000,
1190,119,1201,5000000000,
1200,120,1211,5000000000,
1210,121,1221,5000000000,
1220,122,1231,5000000000,
1230,123,1241,5000000000,
1240,124,1251,5000000000,
1250,125,1261,5000000000,
1260,126,1271,5000000000,
1270,127,1281,5000000000,
1280,128,1291,5000000000,
1290,129,1301,5000000000,
1300,130,1311,5000000000,
1310,131,1321,5000000000,
1320,132,1331,5000000000,
1330,133,1341,5000000000,
1340,134,1351,5000000000,
1350,135,1361,5000000000,
1360,136,1371,5000000000,
1370,137,1381,5000000000,
1380,138,1391,5000000000,
1390,139,1401,5000000000,
1400,140,1411,5000000000,
1410,141,1421,5000000000,
1420,142,1431,5000000000,
1430,143,1441,5000000000,
1440,144,1451,5000000000,
1450,145,1461,5000000000,
1460,146,1471,5000000000,
1470,147,1481,5000000000,
1480,148,1491,5000000000,
1490,149,1501,5000000000,
1500,150,1511,5000000000,
1510,151,1521,5000000000,
1520,152,1531,5000000000,
1530,153,1541,5000000000,
1540,154,1551,5000000000,
1550,155,1561,5000000000,
1560,156,1571,5000000000,
